country,lat,long,confirmed,deaths,recovered,color
Afghanistan,[33.93911],[67.709953],0.6443472099193689,0.16336725216202322,0.8558495390061888,"[0.7206829907677831, 0.1729878661367669, 0.84382189954224, 0.9999999999999998]"
Albania,[41.1533],[20.1683],0.652382108568251,0.07835022728534641,0.6620624257859999,"[0.6593208517025445, 0.08785172257954968, 0.6900483277106498, 0.9999999999999998]"
Algeria,[28.0339],[1.6596],0.6838199477220196,0.106984494117859,0.7441926981355003,"[0.6683296404034118, 0.07700017654764256, 0.7543981583822088, 0.9999999999999998]"
Andorra,[42.5063],[1.5218],0.5349549969011331,0.040148453853179424,0.9365239997633265,"[0.5412276687399848, 0.052717212667751, 0.9636549507052019, 0.9999999999999998]"
Angola,[-11.2027],[17.8739],0.5805829936273672,0.08964703044886092,0.7096874727643888,"[0.6084903336118311, 0.08983186781131709, 0.725715865328886, 0.9999999999999998]"
Antigua and Barbuda,[17.0608],[-61.7964],0.3014023885704583,0.12146615018822178,0.9492118900858241,"[0.3002393165058884, 0.02895539124724405, 0.8945206658741871, 0.9999999999999997]"
Argentina,[-38.4161],[-63.6167],0.8496614964815293,0.10272835229933336,0.9146880689492537,"[0.8323828276472601, 0.09803053553272069, 0.8968557422697417, 0.9999999999999997]"
Armenia,[40.0691],[45.0382],0.7115627380969858,0.06901323430612476,0.925152415887694,"[0.708763377656161, 0.047842800761233505, 0.9277356031199281, 0.9999999999999998]"
Australia,"[-35.4735, -33.8688, -12.4634, -27.4698, -34.9285, -42.8821, -37.8136, -31.9505]","[149.0124, 151.2093, 130.8456, 153.0251, 138.6007, 147.3272, 144.9631, 115.8605]",0.6091464986393288,0.12323857733744879,0.8421830475291086,"[0.6198327541666129, 0.08052188047839676, 0.8302075814776567, 0.9999999999999998]"
Austria,[47.5162],[14.5501],0.7605022273158598,0.06699795398966833,0.9447404590053624,"[0.7692057788680328, 0.06980318493770475, 0.934521091235776, 0.9999999999999998]"
Azerbaijan,[40.1431],[47.5769],0.7304044562909731,0.048022962013475,0.9065250470992041,"[0.7313003295608252, 0.051941463463895624, 0.9083161378852184, 0.9999999999999998]"
Bahamas,[25.025885],[-78.035889],0.5328907417314706,0.08414752159426361,0.8408044538247592,"[0.5206610949558041, 0.06431510012035828, 0.8393339516073739, 0.9999999999999998]"
Bahrain,[26.0275],[50.55],0.679533223552588,0.01479126885373757,0.9795272716070944,"[0.6801104847387547, 0.03382405859167974, 0.9751208354940316, 0.9999999999999998]"
Bangladesh,[23.685],[90.3563],0.7810824131102838,0.05744255507975573,0.9200243824493629,"[0.7692057788680328, 0.06980318493770475, 0.934521091235776, 0.9999999999999998]"
